student_id,age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades,gender_Male,gender_Other,gaming_genre_Fps,gaming_genre_Rpg,study_efficiency_index,sleep_deficit,digital_load
63,23,7.61,8.48,4.49,79.4,2.75,11.78,216.59,20.63,2,54,1,0,0,1,6.367924528301886,3.51,0.6460101867572157
64,20,5.71,3.82,4.91,83.39,4.0,7.02,248.64,11.92,0,47,1,0,0,1,12.30366492146597,3.09,0.8133903133903134
65,17,2.61,7.13,6.44,89.83,4.68,3.71,296.63,7.25,1,87,0,1,1,0,12.201963534361852,1.5599999999999996,0.7035040431266846
66,20,2.32,3.74,6.47,72.75,2.86,8.06,282.36,11.5,1,60,0,0,1,0,16.0427807486631,1.5300000000000002,0.2878411910669974
67,23,4.19,7.65,7.84,69.07,0.55,8.84,248.18,10.14,1,77,1,0,0,0,10.065359477124185,0.1600000000000001,0.4739819004524887
68,24,0.63,5.17,7.63,98.59,4.11,2.4,317.74,2.27,1,100,0,0,0,0,19.342359767891683,0.3700000000000001,0.2625
69,24,0.94,6.38,5.01,77.3,4.09,4.17,299.3,1.28,1,84,1,0,0,0,13.16614420062696,2.99,0.2254196642685851
70,16,1.41,4.74,6.97,60.06,0.57,3.38,296.69,1.69,1,75,1,0,0,0,15.82278481012658,1.0300000000000002,0.4171597633136094
71,24,6.2,2.46,4.1,93.51,2.74,7.25,246.91,14.68,0,35,0,0,0,0,14.227642276422763,3.9,0.8551724137931035
72,22,4.11,2.6,5.99,83.99,2.44,7.07,271.45,12.09,1,48,0,0,1,0,18.46153846153846,2.01,0.5813295615275813
73,24,0.08,1.7,7.82,66.74,4.24,4.32,329.26,4.61,1,68,1,0,1,0,40.0,0.1799999999999997,0.0185185185185185
74,23,5.39,6.56,6.0,61.21,1.37,11.16,252.9,11.6,0,60,0,0,0,0,9.146341463414634,2.0,0.4829749103942652
75,16,3.39,8.64,8.18,71.66,2.13,8.24,280.0,8.79,1,92,0,0,1,0,10.648148148148149,0.0,0.4114077669902912
76,23,4.09,1.19,8.88,97.12,3.02,6.24,253.99,10.21,1,67,1,0,0,0,56.30252100840337,0.0,0.655448717948718
77,23,1.71,1.6,7.04,97.34,2.59,4.39,305.76,0.21,1,70,0,0,0,0,43.75,0.96,0.3895216400911162
78,18,4.41,5.12,4.73,72.44,4.78,8.01,260.17,11.53,1,57,0,0,0,1,11.1328125,3.27,0.550561797752809
79,16,7.83,7.64,5.9,93.44,4.8,9.79,258.35,20.4,2,70,0,0,1,0,9.162303664921469,2.1,0.7997957099080696
80,23,0.59,2.42,4.05,77.67,0.41,5.75,310.78,6.03,1,72,0,0,0,1,29.75206611570248,3.95,0.1026086956521739
81,18,2.27,3.44,7.01,86.17,1.49,4.11,297.0,0.64,1,70,0,0,0,0,20.348837209302324,0.9900000000000002,0.5523114355231143
82,18,1.94,3.09,8.11,73.38,0.04,4.39,303.1,5.9,1,63,1,0,0,0,20.388349514563107,0.0,0.4419134396355353
83,16,1.99,4.59,7.15,80.64,2.09,5.88,295.23,6.36,1,84,0,0,1,0,18.30065359477124,0.8499999999999996,0.3384353741496598
84,20,3.03,3.02,7.93,71.75,3.31,4.65,288.01,7.41,1,60,0,0,0,0,19.86754966887417,0.0700000000000002,0.6516129032258063
85,22,6.54,4.17,8.0,62.44,2.36,10.66,264.07,15.35,0,34,1,0,0,1,8.15347721822542,0.0,0.6135084427767354
86,24,7.3,7.56,8.26,65.58,0.34,13.02,224.86,16.81,0,76,0,0,1,0,10.052910052910054,0.0,0.5606758832565284
87,22,1.62,6.5,5.33,71.63,0.98,6.08,278.13,0.82,1,85,0,0,1,0,13.076923076923077,2.67,0.2664473684210526
88,24,4.34,1.73,8.36,99.05,0.87,9.4,254.89,11.83,1,51,0,0,0,1,29.479768786127167,0.0,0.4617021276595744
89,23,5.1,6.74,7.27,98.63,2.56,8.29,268.77,13.05,0,70,1,0,1,0,10.385756676557865,0.7300000000000004,0.615199034981906
90,17,4.17,5.29,5.45,93.11,3.39,7.0,265.17,8.64,1,71,1,0,1,0,13.421550094517958,2.55,0.5957142857142858
91,16,3.47,9.41,8.94,69.3,1.58,6.11,301.68,10.78,1,100,0,0,1,0,10.626992561105206,0.0,0.5679214402618658
92,22,1.54,3.6,8.75,77.66,0.65,5.84,308.79,1.95,1,77,1,0,0,0,21.38888888888889,0.0,0.2636986301369863
93,22,3.91,7.54,6.87,77.59,3.99,7.5,266.55,6.16,1,84,0,0,1,0,11.140583554376658,1.13,0.5213333333333333
94,23,3.21,7.58,8.22,75.48,4.29,6.57,273.69,8.27,1,87,1,0,1,0,11.477572559366754,0.0,0.4885844748858447
95,20,6.36,2.99,5.31,61.8,1.38,7.86,239.22,12.11,0,28,1,0,1,0,9.364548494983277,2.6900000000000004,0.8091603053435115
96,18,6.11,9.13,6.08,81.38,2.1,10.48,226.04,16.35,0,90,1,0,0,0,9.85761226725082,1.92,0.5830152671755725
97,23,1.07,5.42,4.92,62.91,0.41,5.7,309.94,3.6,1,61,1,0,0,0,11.25461254612546,3.08,0.187719298245614
98,21,0.71,7.11,6.6,92.08,1.14,2.69,318.42,5.13,1,96,0,0,0,0,13.502109704641349,1.4000000000000004,0.2639405204460966
99,18,7.27,2.31,6.48,87.65,3.84,12.07,223.09,15.5,0,26,1,0,0,1,11.255411255411255,1.5199999999999996,0.6023198011599006
100,16,4.28,3.32,5.06,74.11,1.83,9.68,253.12,11.55,1,41,1,0,0,1,12.349397590361448,2.9400000000000004,0.4421487603305785
101,18,6.86,6.27,7.36,85.89,3.02,8.73,228.57,10.69,0,51,1,0,0,1,8.133971291866029,0.6399999999999997,0.7857961053837342
102,20,0.47,3.87,4.59,69.32,4.73,3.73,324.33,2.46,1,61,0,0,0,1,15.762273901808785,3.41,0.1260053619302949
103,18,4.21,5.5,4.31,70.61,3.62,9.59,277.51,11.26,1,52,1,0,1,0,9.454545454545457,3.69,0.4389989572471324
104,16,4.32,4.37,5.92,72.57,2.27,7.76,270.31,12.78,1,57,0,0,0,1,13.043478260869565,2.08,0.5567010309278351
105,20,6.89,6.76,6.05,91.88,1.83,11.97,253.74,13.3,0,55,0,0,1,0,8.136094674556213,1.95,0.5756056808688387
106,22,0.78,5.38,5.6,68.43,0.95,2.86,293.75,2.03,1,74,0,0,0,0,13.754646840148698,2.4000000000000004,0.2727272727272727
107,22,1.92,1.04,5.29,82.51,3.78,3.24,294.88,7.41,1,53,0,0,0,1,50.96153846153846,2.71,0.5925925925925926
108,24,3.25,6.85,5.69,68.02,0.56,4.55,286.6,10.32,1,70,0,0,0,1,10.218978102189782,2.31,0.7142857142857143
109,18,6.93,4.8,4.82,71.4,0.31,12.79,244.74,15.12,0,28,0,0,0,1,5.833333333333334,3.18,0.5418295543393277
110,22,7.51,4.08,6.02,69.42,0.52,9.33,237.92,14.56,0,39,1,0,0,0,9.558823529411764,1.9800000000000004,0.804930332261522
111,16,7.94,1.85,8.52,85.8,1.21,13.26,231.96,15.14,0,26,1,0,0,1,14.054054054054053,0.0,0.598793363499246
112,19,7.67,2.98,5.12,81.07,3.14,10.25,241.15,12.38,0,19,1,0,0,1,6.375838926174497,2.88,0.7482926829268293
113,19,0.05,3.01,7.42,88.85,4.31,1.25,327.01,-0.08,1,81,0,0,1,0,26.91029900332226,0.5800000000000001,0.04
114,20,0.38,9.42,4.71,68.8,4.96,2.58,303.9,0.57,2,100,0,1,1,0,10.615711252653927,3.29,0.1472868217054263
115,22,1.18,4.89,5.77,60.37,3.66,4.71,301.29,8.25,1,88,0,0,1,0,17.995910020449898,2.2300000000000004,0.2505307855626327
116,22,2.79,1.38,5.61,87.22,0.73,4.32,269.57,7.04,1,46,1,0,1,0,33.333333333333336,2.39,0.6458333333333333
117,19,6.64,2.25,8.69,64.59,1.39,12.25,250.28,15.67,0,42,0,0,0,0,18.666666666666668,0.0,0.5420408163265306
118,22,7.14,1.71,6.14,69.85,0.66,12.64,246.27,18.34,0,21,1,0,0,0,12.280701754385966,1.8600000000000003,0.5648734177215189
119,18,1.49,6.3,7.45,72.23,0.58,3.24,289.92,5.91,1,100,1,0,1,0,15.873015873015872,0.5499999999999998,0.4598765432098765
120,21,4.96,2.68,7.01,89.87,2.84,9.65,256.68,14.69,1,51,1,0,1,0,19.029850746268657,0.9900000000000002,0.5139896373056995
121,17,7.34,5.49,4.71,85.04,4.53,10.64,214.37,16.85,0,40,1,0,0,1,7.285974499089253,3.29,0.6898496240601504
122,24,3.71,4.33,8.7,67.37,3.42,9.62,274.27,10.33,1,62,0,0,0,1,14.318706697459584,0.0,0.3856548856548857
123,20,0.83,8.23,5.73,83.92,4.0,2.11,301.77,2.62,2,96,1,0,0,0,11.66464155528554,2.27,0.3933649289099526
124,21,3.66,3.88,4.22,88.33,2.54,7.02,264.4,8.88,1,59,1,0,0,1,15.20618556701031,3.78,0.5213675213675214
125,19,3.01,5.12,5.5,75.56,2.38,5.44,283.63,6.18,1,67,0,0,0,0,13.0859375,2.5,0.5533088235294117
126,22,4.62,7.49,5.68,69.84,4.69,9.25,283.38,13.64,2,71,0,0,1,0,9.479305740987984,2.3200000000000003,0.4994594594594594
127,24,3.51,4.9,4.46,87.16,3.61,5.07,285.83,7.41,1,66,0,0,1,0,13.46938775510204,3.54,0.6923076923076922
128,22,0.14,8.14,7.1,84.44,2.3,4.28,315.8,0.32,1,100,1,0,0,0,12.285012285012284,0.9000000000000004,0.0327102803738317
129,16,7.95,6.96,5.73,63.12,1.66,13.69,224.11,18.81,0,42,0,0,1,0,6.0344827586206895,2.27,0.5807158509861213
130,16,4.35,4.69,7.15,86.67,0.47,7.62,286.58,11.77,1,68,0,0,1,0,14.498933901918976,0.8499999999999996,0.5708661417322834
131,24,3.79,5.54,4.03,79.54,4.1,7.06,287.11,6.3,1,59,1,0,1,0,10.649819494584838,3.97,0.5368271954674221
133,19,1.25,6.95,4.85,67.63,2.58,4.33,310.01,2.44,1,88,1,0,1,0,12.661870503597122,3.1500000000000004,0.2886836027713625
134,24,1.51,9.14,7.3,70.33,3.19,4.75,291.89,9.01,1,100,1,0,0,0,10.940919037199125,0.7000000000000002,0.3178947368421053
135,18,6.46,2.61,7.58,81.73,3.72,9.78,242.73,14.76,0,32,0,0,0,0,12.260536398467432,0.4199999999999999,0.6605316973415133
136,22,2.09,5.35,4.86,79.27,0.42,8.08,302.56,10.28,1,70,0,0,0,0,13.08411214953271,3.14,0.2586633663366336
137,21,6.39,9.18,4.56,75.45,0.05,7.97,253.52,14.06,2,78,1,0,1,0,8.49673202614379,3.4400000000000004,0.8017565872020075
138,23,2.17,3.9,4.76,89.84,3.53,4.6,287.56,6.22,1,67,0,0,0,0,17.17948717948718,3.24,0.4717391304347826
139,24,0.27,9.71,5.23,82.59,2.27,2.32,326.78,1.44,2,100,0,0,0,0,10.298661174047371,2.77,0.1163793103448276
140,20,4.14,1.87,4.84,88.41,0.91,7.86,271.8,9.69,1,36,0,0,1,0,19.25133689839572,3.16,0.5267175572519084
141,16,1.57,9.12,7.37,66.13,4.91,2.58,298.27,3.5,1,100,1,0,1,0,10.964912280701755,0.6299999999999999,0.6085271317829457
142,18,6.06,5.01,6.1,89.16,3.96,11.67,266.37,13.61,0,58,0,0,0,1,11.57684630738523,1.9000000000000004,0.519280205655527
143,23,5.13,1.66,6.69,78.46,2.89,8.79,254.84,12.07,0,39,1,0,0,0,23.49397590361446,1.3099999999999996,0.5836177474402731
144,21,7.39,8.92,4.24,61.35,3.51,12.87,220.24,14.27,2,47,0,0,1,0,5.269058295964125,3.76,0.5742035742035743
145,23,6.26,3.27,8.31,69.38,0.78,8.98,238.16,14.23,0,44,1,0,0,1,13.45565749235474,0.0,0.6971046770601336
146,24,1.45,1.2,4.85,61.03,4.81,3.2,309.86,1.37,1,37,1,0,0,0,30.833333333333336,3.1500000000000004,0.4531249999999999
147,19,6.4,2.22,5.8,78.27,4.98,8.36,233.33,13.97,0,27,0,0,1,0,12.16216216216216,2.2,0.7655502392344499
148,16,5.13,6.93,4.36,73.04,3.24,8.48,266.73,12.58,0,48,1,0,1,0,6.926406926406926,3.64,0.6049528301886792
149,16,5.35,9.8,4.68,99.5,3.34,6.55,247.27,14.13,2,93,1,0,0,0,9.489795918367346,3.3200000000000003,0.8167938931297709
150,19,6.66,2.0,7.33,94.74,3.52,11.57,239.33,16.41,0,38,1,0,1,0,19.0,0.6699999999999999,0.5756266205704408
151,22,4.59,5.16,7.46,93.03,3.33,9.54,287.02,11.12,1,68,0,0,0,0,13.178294573643411,0.54,0.4811320754716981
152,17,3.73,2.63,7.38,80.04,2.19,8.24,266.41,8.46,1,61,1,0,0,0,23.19391634980989,0.6200000000000001,0.4526699029126213
153,18,5.09,7.71,6.76,92.28,2.7,10.57,238.72,14.35,0,89,0,0,1,0,11.543450064850845,1.2400000000000002,0.4815515610217596
154,16,2.38,2.06,8.76,70.67,1.41,6.13,305.11,6.44,1,56,1,0,1,0,27.184466019417474,0.0,0.3882544861337683
155,20,1.46,3.16,6.54,82.43,2.23,4.86,288.48,3.12,1,76,1,0,1,0,24.050632911392405,1.46,0.3004115226337448
156,16,4.93,2.77,6.25,75.72,2.18,8.58,252.72,11.99,1,46,1,0,1,0,16.60649819494585,1.75,0.5745920745920745
157,23,1.87,5.97,5.24,66.85,1.44,3.78,304.85,0.98,1,89,0,0,0,0,14.90787269681742,2.76,0.4947089947089947
158,16,0.64,8.86,4.49,62.9,3.93,4.2,319.21,3.22,2,93,1,0,0,1,10.496613995485328,3.51,0.1523809523809523
159,16,0.0,5.6,6.74,82.33,2.05,3.71,296.26,0.29,1,88,1,0,0,0,15.714285714285715,1.2599999999999998,0.0
160,17,4.87,1.52,5.57,63.91,2.76,9.69,258.13,11.5,1,24,0,1,0,1,15.789473684210526,2.43,0.5025799793601652
161,17,2.9,6.07,6.62,88.72,0.78,5.64,293.72,11.16,1,84,0,0,0,1,13.838550247116968,1.38,0.5141843971631206
162,21,6.02,8.18,5.03,96.86,2.37,7.48,268.05,11.8,2,80,1,0,0,0,9.7799511002445,2.97,0.8048128342245988
163,22,3.0,2.19,8.19,66.48,3.81,6.99,271.61,9.57,1,65,1,0,0,0,29.680365296803654,0.0,0.4291845493562232
164,20,3.89,1.65,9.0,78.84,2.22,8.83,284.0,12.35,1,65,0,0,0,0,39.3939393939394,0.0,0.4405436013590034
165,16,3.26,2.69,5.61,89.55,2.79,9.11,274.26,11.15,1,60,1,0,1,0,22.30483271375465,2.39,0.3578485181119649
166,16,5.2,7.71,8.21,71.47,3.51,6.65,268.02,11.87,0,88,1,0,0,0,11.413748378728924,0.0,0.7819548872180451
167,18,2.85,6.33,8.36,96.83,1.94,7.58,275.4,5.85,1,91,0,0,0,1,14.375987361769353,0.0,0.3759894459102902
168,17,7.71,5.87,8.98,95.54,1.77,11.69,225.18,16.11,0,55,0,0,0,0,9.369676320272571,0.0,0.6595380667236955
169,20,7.49,3.25,5.71,64.15,0.43,8.57,233.99,13.19,0,9,0,0,0,1,2.769230769230769,2.29,0.8739789964994166
170,21,6.78,3.99,7.78,61.1,2.91,11.37,248.18,15.15,0,38,1,0,1,0,9.523809523809524,0.2199999999999997,0.5963060686015832
171,22,7.36,9.69,5.14,99.06,3.53,8.49,237.38,14.6,2,77,1,0,1,0,7.946336429308566,2.8600000000000003,0.866902237926973
172,19,3.59,3.17,7.12,98.26,2.91,8.52,272.63,7.82,1,65,0,0,1,0,20.50473186119874,0.8799999999999999,0.4213615023474178
173,22,4.29,9.11,7.52,76.89,1.42,8.9,263.5,11.98,1,87,1,0,1,0,9.54994511525796,0.4800000000000004,0.4820224719101123
174,23,5.94,6.22,7.71,62.02,1.31,10.38,266.51,13.11,0,59,0,0,0,1,9.485530546623794,0.29,0.5722543352601156
175,16,5.57,2.11,5.04,84.76,0.8,7.17,255.93,11.21,0,38,0,0,0,0,18.009478672985782,2.96,0.7768479776847979
176,21,7.13,5.21,8.24,71.74,0.23,12.73,229.69,13.92,0,48,1,0,1,0,9.213051823416508,0.0,0.5600942655145326
177,23,5.73,9.54,6.1,97.47,2.13,11.22,256.62,14.34,0,86,0,0,1,0,9.014675052410904,1.9000000000000004,0.5106951871657754
178,20,7.98,4.77,5.08,91.79,0.8,13.48,230.47,18.52,0,27,0,0,0,0,5.660377358490567,2.92,0.5919881305637983
179,19,2.79,8.77,6.71,85.98,3.45,5.59,272.99,5.78,1,99,0,0,1,0,11.2884834663626,1.29,0.4991055456171735
180,17,6.66,3.31,8.32,71.38,4.81,10.12,244.94,15.81,0,44,1,0,0,0,13.293051359516616,0.0,0.6581027667984191
181,21,5.58,6.14,8.84,88.05,0.37,7.15,237.98,12.18,0,77,1,0,1,0,12.540716612377851,0.0,0.7804195804195804
182,21,5.53,8.59,7.74,71.57,4.46,6.79,247.19,12.87,0,89,0,0,0,1,10.360884749708964,0.2599999999999998,0.8144329896907216
183,16,2.61,9.29,4.03,61.51,3.29,3.9,278.82,7.13,2,86,1,0,1,0,9.257265877287407,3.97,0.6692307692307692
184,24,6.28,5.37,4.67,80.34,4.3,10.12,243.35,15.91,0,52,0,1,0,0,9.68342644320298,3.33,0.6205533596837945
185,21,7.2,6.76,4.38,79.55,0.77,9.81,229.23,19.04,0,44,1,0,0,0,6.508875739644971,3.62,0.7339449541284403
186,18,1.75,1.03,4.51,90.52,4.53,5.65,297.0,5.71,1,59,0,0,0,0,57.28155339805825,3.49,0.3097345132743362
187,19,5.0,3.28,5.92,94.63,4.79,8.96,241.05,10.09,1,48,1,0,1,0,14.634146341463415,2.08,0.5580357142857142
188,19,3.14,3.51,5.69,74.18,4.53,8.68,281.56,8.19,1,56,0,0,0,0,15.954415954415955,2.31,0.3617511520737327
189,18,7.92,1.84,4.57,77.98,3.93,13.33,213.95,17.74,0,15,1,0,0,0,8.152173913043478,3.43,0.5941485371342836
190,18,3.83,3.52,8.41,78.82,0.45,8.42,296.88,8.12,1,64,1,0,0,1,18.181818181818183,0.0,0.4548693586698337
191,18,1.83,3.89,7.08,72.97,1.1,6.92,294.04,1.18,1,76,1,0,0,1,19.53727506426735,0.92,0.2644508670520231
192,19,3.05,9.72,7.98,89.74,4.57,4.07,280.82,7.07,1,99,0,0,0,0,10.185185185185183,0.0199999999999995,0.7493857493857493
193,22,5.23,7.02,5.86,80.88,1.15,6.31,264.19,11.07,2,82,1,0,0,1,11.68091168091168,2.14,0.8288431061806657
194,19,0.61,4.83,6.05,96.56,1.74,3.9,325.9,6.69,1,88,0,0,1,0,18.21946169772257,1.95,0.1564102564102564
195,24,4.83,9.89,5.59,86.01,0.25,9.1,250.26,15.5,2,85,0,0,0,0,8.594539939332659,2.41,0.5307692307692308
196,16,7.45,2.38,6.19,68.48,3.14,12.42,236.33,18.74,0,25,1,0,0,1,10.504201680672267,1.81,0.5998389694041868
